96;Лусака;{"name":"Лусака", "country":"Замбия", "genCountry":"Замбии", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
97;Любляна;{"name":"Любляна", "country":"Словения", "genCountry":"Словении", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"3"}
98;Люксембург;{"name":"Люксембург", "country":"Люксембург", "genCountry":"Люксембурга", "continent":"Европа", "duplicateName" : "true", "facts":[], "complexity":"3"}
99;Маджуро;{"name":"Маджуро", "country":"Маршалловы Острова", "genCountry":"Маршалловых Островов", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
100;Мадрид;{"name":"Мадрид", "country":"Испания", "genCountry":"Испании", "continent":"Европа", "duplicateName" : "false", "facts":["В Мадриде каждое воскресенье с марта по октябрь проходят бои быков."], "complexity":"1"}
101;Малабо;{"name":"Малабо", "country":"Экваториальная Гвинея", "genCountry":"Экваториальной Гвинеи", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
102;Мале;{"name":"Мале", "country":"Мальдивские Острова", "genCountry":"Мальдивских Островов", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"5"}
103;Манагуа;{"name":"Манагуа", "country":"Никарагуа", "genCountry":"Никарагуа", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
104;Манама;{"name":"Манама", "country":"Бахрейн", "genCountry":"Бахрейна", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"5"}
105;Манила;{"name":"Манила", "country":"Филиппины", "genCountry":"Филиппинов", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"3"}
106;Мапуту;{"name":"Мапуту", "country":"Мозамбик", "genCountry":"Мозамбика", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
107;Масеру;{"name":"Масеру", "country":"Лесото", "genCountry":"Лесото", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
108;Маскат;{"name":"Маскат", "country":"Оман", "genCountry":"Омана", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"5"}
109;Мбабане;{"name":"Мбабане", "country":"Свазиленд", "genCountry":"Свазиленда", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
110;Мехико;{"name":"Мехико", "country":"Мексика", "genCountry":"Мексики", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"2"}
111;Минск;{"name":"Минск", "country":"Белоруссия", "genCountry":"Белоруссии", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"1"}
112;Могадишо;{"name":"Могадишо", "country":"Сомали", "genCountry":"Сомали", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
113;Монако;{"name":"Монако", "country":"Монако", "genCountry":"Монако", "continent":"Европа", "duplicateName" : "true", "facts":[], "complexity":"2"}
114;Монровия;{"name":"Монровия", "country":"Либерия", "genCountry":"Либерии", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
115;Монтевидео;{"name":"Монтевидео", "country":"Уругвай", "genCountry":"Уругвая", "continent":"Южная Америка", "duplicateName" : "false", "facts":[], "complexity":"4"}
116;Морони;{"name":"Морони", "country":"Коморские Острова", "genCountry":"Коморских Островов", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
117;Москва;{"name":"Москва", "country":"Россия", "genCountry":"России", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"1"}
118;Найроби;{"name":"Найроби", "country":"Кения", "genCountry":"Кении", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"4"}
119;Нассау;{"name":"Нассау", "country":"Багамские Острова", "genCountry":"Багамских Островов", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
120;Нгерулмуд;{"name":"Нгерулмуд", "country":"Палау", "genCountry":"Палау", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
121;Нджамена;{"name":"Нджамена", "country":"Чад", "genCountry":"Чада", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
122;Нейпьидо;{"name":"Нейпьидо", "country":"Мьянма", "genCountry":"Мьянмы", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"5"}
123;Ниамей;{"name":"Ниамей", "country":"Нигер", "genCountry":"Нигера", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
124;Никосия;{"name":"Никосия", "country":"Кипр", "genCountry":"Кипра", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"4"}
125;Нуакшот;{"name":"Нуакшот", "country":"Мавритания", "genCountry":"Мавритании", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
126;Нукуалофа;{"name":"Нукуалофа", "country":"Тонга", "genCountry":"Тонги", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
127;Нью-Дели,Нью Дели;{"name":"Нью-Дели", "country":"Индия", "genCountry":"Индии", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"2"}
128;Осло;{"name":"Осло", "country":"Норвегия", "genCountry":"Норвегии", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"2"}
129;Оттава;{"name":"Оттава", "country":"Канада", "genCountry":"Канады", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"2"}
130;Паликир;{"name":"Паликир", "country":"Федеративные Штаты Микронезии", "genCountry":"Федеративных Штатов Микронезии", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
131;Панама;{"name":"Панама", "country":"Панама", "genCountry":"Панамы", "continent":"Северная Америка", "duplicateName" : "true", "facts":[], "complexity":"3"}
132;Парамарибо;{"name":"Парамарибо", "country":"Суринам", "genCountry":"Суринама", "continent":"Южная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
133;Париж;{"name":"Париж", "country":"Франция", "genCountry":"Франции", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"1"}
134;Пекин;{"name":"Пекин", "country":"Китай", "genCountry":"Китая", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"1"}
135;Пномпень;{"name":"Пномпень", "country":"Камбоджа", "genCountry":"Камбоджи", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"5"}
136;Подгорица;{"name":"Подгорица", "country":"Черногория", "genCountry":"Черногории", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"3"}
137;Порт-Вила,Порт Вила;{"name":"Порт-Вила", "country":"Вануату", "genCountry":"Вануату", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
138;Порт-Луи,Порт Луи;{"name":"Порт-Луи", "country":"Маврикий", "genCountry":"Маврикия", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
139;Порт-Морсби,Порт Морсби;{"name":"Порт-Морсби", "country":"Папуа - Новая Гвинея", "genCountry":"Папуа - Новой Гвинеи", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
140;Порт-о-Пренс,Порт о Пренс;{"name":"Порт-о-Пренс", "country":"Гаити", "genCountry":"Гаити", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
141;Порт-оф-Спейн,Порт оф Спейн;{"name":"Порт-оф-Спейн", "country":"Тринидад и Тобаго", "genCountry":"Тринидад и Тобаго", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
